,企業名,仕事内容,初年度年収
0,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,【ITインフラ/クラウド】ネットワーク設計/運用など経験・スキルに合った業務★先々はタイプに合ったキャリアを選べる★マルチクラウドのスキルを手に,306万円～1000万円
1,株式会社ライジングサンセキュリティーサービス | ★面接保証あり★20～60代が活躍中★月給最大29万8000円！,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の受付・巡回など】★無理のないシフト★資格取得支援あり★バス・トイレ付の寮完備♪,300万円～600万円
2,株式会社手なおし屋 | ◆年間休日120日以上◆平均月収40万円～50万円◆基本定時退社,"【住宅設備の点検やメンテナンスのご案内をお任せします】★ノルマなし★売り込むのではなく""ご案内""するだけだから簡単★完全週休2日制(日・月)",400万円～500万円
3,第一生命保険株式会社 | ◆未経験でも安心の教育プログラム◆賞与年2回◆福利厚生充実,生涯設計デザイナーとして、お客さまに合った保険プランを提案。その後のアフターフォローまでトータルサポートする仕事です。,
4,有限会社興和土建 | ★残業少なめ ★資格取得支援制度充実 ★多摩エリアに密着◎,《水道管の新設・補修、路面舗装など》暮らしを支えるインフラ工事の現場作業をお任せします。 ◆現場は車で片道60分圏内の多摩地区 ◆残業ほぼなし,400万円～600万円
5,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,【同期入社多数！】『カラオケまねきねこ』をお客様に思いっきり楽しんでもらえるように接客しましょう！★新入社員研修制度あり★年2回5連休あり！,300万円～850万円
6,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【営業＆IT業界デビューを応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,
7,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定,
8,日研トータルソーシング株式会社 | 【大阪府緊急雇用対策に賛同】◎90％が未経験入社 ◎定着率95％,【知識やスキルは不要！基本からレクチャーします！】製品の不良品のチェック・仕分け、カンタンな製造や倉庫作業、データ入力などをお任せします！,
9,株式会社要 | ＜ゲームやアプリ開発、インフラ構築など案件豊富＞※未経験OK,【プライム案件多数・自社内開発あり】 Web・オープン系/モバイルアプリ/コンシューマー向けゲーム/自社プロダクトetc.案件多彩！★賞与・昇給年2回,350万円～900万円
